Trial,Date,Location,Time,Beaufort,Rain,Habitat,Depth_cm,Treatment_color,Fish_size_cm,Group_size ,Observer,ED_cm,SD_cm,FID,Notes:,Temperature_C,Live_coral_cover,Dead_coral_cover,Algae_cover,Rubble_cover,Sand,Sum,Hard_substrate_cover,RGB_color_difference,HSB_color_difference
6,17-Jan-2022,Sailing School,9:20,2,yes,Bommie,,Black,9,4,Elle,110,165,55,,,16,42,0,0,23,81,58,65.34523701,23.85372088
7,17-Jan-2022,Sailing School,9:30,2,yes,Bommie,,Blue,8,1,Elle,105,160,55,,,27,15,10,0,29,81,42,34.3220046,35.07135583
8,17-Jan-2022,Sailing School,9:45,2,yes,Bommie,,Yellow,6,2,Elle,110,150,40,,,1,43,5,0,32,81,44,57.66281297,38.13135193
11,17-Jan-2022,Sailing School,10:27,1,no,Bommie,,Blue,7,5,Elle,105,150,45,,,12,63,3,0,3,81,75,27.5680975,22.02271555
12,17-Jan-2022,Sailing School,10:35,1,no,Bommie,,Yellow,9,3,Elle,90,160,70,,,1,50,16,2,12,81,51,61.32699243,41.53311931
15,17-Jan-2022,Sailing School,14:10,2,no,Bommie,,Blue,8,5,Elle,114,169,55,,28,0,66,12,0,3,81,66,43.84062043,17.32050808
16,17-Jan-2022,Sailing School,14:22,2,no,Bommie,134,Yellow,6,2,Elle,126,168,42,,28,3,37,14,7,20,81,40,57.01754116,76.92203845
17,17-Jan-2022,Sailing School,14:40,2,yes,Contiguous,110, Conspecific,7,3,Elle,115,147,32,Fish came towards stimuli before fleeing,28,30,28,11,1,11,81,58,64.02343321,38.61346915
18,17-Jan-2022,Sailing School,14:50,2,no,Bommie,110,Black,7,1,Elle,85,150,65,,27,1,32,13,0,35,81,33,124.9559923,47.19110086
19,17-Jan-2022,Sailing School,15:02,1,no,Bommie,105,Blue,13,5,Elle,117,163,46,,28,22,55,4,0,0,81,77,26.19160171,13.74772708
20,17-Jan-2022,Sailing School,15:09,1,no,Bommie,140,Yellow,10,1,Elle,145,185,40,,28,12,25,18,0,26,81,37,81.96340647,126.6885946
